Model,Stage,Accuracy,Precision,Recall,F1 Score,ROC_AUC
Logistic Regression,Baseline,0.6787,0.0,0.0,0.0,0.4996720951530752
Decision Tree,Baseline,0.5595,0.31795968234575445,0.3239962651727358,0.32094959149067365,0.49749245997696756
Random Forest,Baseline,0.6751,0.36363636363636365,0.014939309056956116,0.028699551569506727,0.5133223926245186
XGBoost,Baseline,0.6763,0.3181818181818182,0.006535947712418301,0.012808783165599268,0.5054457059414633
LightGBM,Baseline,0.677,0.3333333333333333,0.005291005291005291,0.010416666666666666,0.5041768029183418
Logistic Regression (CW),Class Weight,0.4961,0.31798245614035087,0.4964207905384376,0.3876534208287763,0.4996653999418801
Random Forest (CW),Class Weight,0.6758,0.32098765432098764,0.008092125739184563,0.015786278081360048,0.5069933544525975
XGBoost (CW),Class Weight,0.5243,0.32079851439182916,0.4301276065981948,0.3675043212338785,0.5022777016770725
Random Forest (SMOTEENN),SMOTEENN,0.4969,0.3272519954389966,0.5359477124183006,0.4063716814159292,0.5097421972243215
XGBoost (SMOTEENN),SMOTEENN,0.5192,0.3111532086194648,0.40896358543417366,0.3534158149542765,0.489763320157066
LightGBM (SMOTEENN),SMOTEENN,0.5399,0.31433921883360083,0.3657018362900716,0.3380808516760178,0.4927183846051231
IsolationForest,Unsupervised,0.6716,0.29714285714285715,0.016184251478369126,0.030696576151121605,0.5153263243643642
OneClassSVM,Unsupervised,0.6721,0.335,0.020852785558667913,0.03926164664518019,0.5117765784178216
PCA_Reconstruction,Unsupervised,0.6645,0.35084033613445376,0.05197634609399315,0.09053944158308484,0.512674699727803
Autoencoder_MLP,Unsupervised,0.6621,0.3391472868217054,0.054466230936819175,0.09385894341646554,0.5122902295178013
